"Path","Root","Extension","SizeBytes","IsText","Lines"
".env.example",".env.example",".example","1142","True","39"
".flutter-plugins-dependencies",".flutter-plugins-dependencies",".flutter-plugins-dependencies","30646","False","0"
".gitignore",".gitignore",".gitignore","2424","True","92"
".metadata",".metadata",".metadata","1706","False","0"
".tmp_tracking_deploy.sh",".tmp_tracking_deploy.sh",".sh","1208","True","36"
".tmp_tracking_finalize.sh",".tmp_tracking_finalize.sh",".sh","1139","True","33"
".tmp_tracking_payload.json",".tmp_tracking_payload.json",".json","129","True","1"
"analysis_options.yaml","analysis_options.yaml",".yaml","1448","True","25"
"devtools_options.yaml","devtools_options.yaml",".yaml","184","True","3"
"firebase.json","firebase.json",".json","321","True","1"
"LICENSE","LICENSE","[none]","820","True","4"
"LICENSE.md","LICENSE.md",".md","1427","True","15"
"pubspec.lock","pubspec.lock",".lock","51248","True","1647"
"pubspec.yaml","pubspec.yaml",".yaml","2453","True","94"
"README.md","README.md",".md","13229","True","311"
"remote_email.log","remote_email.log",".log","2416","False","0"
".agents\workflows\skill.md",".agents",".md","5850","True","135"
"android\.gitignore","android",".gitignore","267","True","13"
"android\build.gradle.kts","android",".kts","561","True","21"
"android\gradle.properties","android",".properties","641","False","0"
"android\gradlew","android","[none]","4971","False","0"
"android\gradlew.bat","android",".bat","2404","True","66"
"android\key.properties","android",".properties","100","False","0"
"android\local.properties","android",".properties","141","False","0"
"android\release-keystore.jks","android",".jks","2734","False","0"
"android\settings.gradle.kts","android",".kts","945","True","25"
"android\viax.iml","android",".iml","1630","False","0"
"android\.gradle\file-system.probe","android",".probe","8","False","0"
"android\.gradle\8.12\gc.properties","android",".properties","0","False","0"
"android\.gradle\8.12\checksums\checksums.lock","android",".lock","17","True","1"
"android\.gradle\8.12\checksums\md5-checksums.bin","android",".bin","228669","False","0"
"android\.gradle\8.12\checksums\sha1-checksums.bin","android",".bin","564011","False","0"
"android\.gradle\8.12\executionHistory\executionHistory.bin","android",".bin","216416905","False","0"
"android\.gradle\8.12\executionHistory\executionHistory.lock","android",".lock","17","True","1"
"android\.gradle\8.12\fileChanges\last-build.bin","android",".bin","1","False","0"
"android\.gradle\8.12\fileHashes\fileHashes.bin","android",".bin","4693770","False","0"
"android\.gradle\8.12\fileHashes\fileHashes.lock","android",".lock","17","True","1"
"android\.gradle\8.12\fileHashes\resourceHashesCache.bin","android",".bin","211149","False","0"
"android\.gradle\buildOutputCleanup\buildOutputCleanup.lock","android",".lock","17","True","2"
"android\.gradle\buildOutputCleanup\cache.properties","android",".properties","52","False","0"
"android\.gradle\buildOutputCleanup\outputFiles.bin","android",".bin","632561","False","0"
"android\.gradle\noVersion\buildLogic.lock","android",".lock","17","True","1"
"android\.gradle\vcs-1\gc.properties","android",".properties","0","False","0"
"android\app\build.gradle.kts","android",".kts","2139","True","59"
